Latitude and Longitude,Class of Land,Mean_RVI,
"(10.325089733570481, 105.26389878299267)",Rice,0.689199686,
"(10.321455902933202, 105.26117341001483)",Rice,0.636553486,
"(10.319184758784901, 105.22710624779182)",Rice,0.719865481,
"(10.321001674103542, 105.25254306225168)",Rice,0.722897132,
"(10.321455902933202, 105.23164853608824)",Rice,0.714523951,
"(10.324181275911162, 105.24936346044419)",Rice,0.664698958,
"(10.324181275911162, 105.27979679203008)",Rice,0.715718508,
"(10.324181275911162, 105.2598107235259)",Rice,0.709632715,
"(10.324181275911162, 105.28706445330431)",Rice,0.721974214,
"(10.32281858942218, 105.27934256320043)",Rice,0.704514821,
"(10.320547445273881, 105.22710624779182)",Rice,0.668148279,
"(10.32327281825184, 105.26162763884446)",Rice,0.685982386,
"(10.324635504740822, 105.25208883342202)",Rice,0.648466428,
"(10.321001674103542, 105.25027191810346)",Rice,0.680357138,
"(10.318730529955241, 105.22756047662148)",Rice,0.674173832,
"(10.31963898761456, 105.23255699374752)",Rice,0.707337062,
"(10.323727047081501, 105.23800773970319)",Rice,0.671930393,
"(10.323727047081501, 105.27797987671151)",Rice,0.710931063,
"(10.323727047081501, 105.26844107128906)",Rice,0.700198094,
"(10.31963898761456, 105.2416415703403)",Rice,0.719582399,
"(10.32327281825184, 105.25663112171844)",Rice,0.576875289,
"(10.32327281825184, 105.27979679203008)",Rice,0.732709726,
"(10.323727047081501, 105.28888136862287)",Rice,0.740356604,
"(10.324635504740822, 105.26344455416304)",Rice,0.689487457,
"(10.324181275911162, 105.26208186767411)",Rice,0.70150574,
"(10.319184758784901, 105.23573659555498)",Rice,0.721767108,
"(10.320547445273881, 105.25435997757023)",Rice,0.707985242,
"(10.31963898761456, 105.24255002799958)",Rice,0.7061282,
"(10.320547445273881, 105.23619082438464)",Rice,0.675013781,
"(10.324181275911162, 105.23709928204391)",Rice,0.744273504,
"(10.324635504740822, 105.26026495235556)",Rice,0.694644451,
"(10.32009321644422, 105.23846196853285)",Rice,0.688756784,
"(10.325089733570481, 105.25617689288879)",Rice,0.684822639,
"(10.321455902933202, 105.23074007842897)",Rice,0.742903868,
"(10.325089733570481, 105.26071918118518)",Rice,0.703648408,
"(10.323727047081501, 105.24073311268103)",Rice,0.678718408,
"(10.323727047081501, 105.24345848565886)",Rice,0.752535184,
"(10.325089733570481, 105.27979679203008)",Rice,0.724101782,
"(10.323727047081501, 105.27752564788187)",Rice,0.708868901,
"(10.318276301125582, 105.22619779013255)",Rice,0.684801737,
"(10.321455902933202, 105.22710624779182)",Rice,0.710695664,
"(10.325089733570481, 105.2666241559705)",Rice,0.663252274,
"(10.321001674103542, 105.26026495235556)",Rice,0.686452468,
"(10.32009321644422, 105.24118734151068)",Rice,0.700822274,
"(10.324635504740822, 105.2857017668154)",Rice,0.650319258,
"(10.32009321644422, 105.24209579916996)",Rice,0.675685644,
"(10.32281858942218, 105.25572266405916)",Rice,0.502646565,
"(10.324635504740822, 105.25663112171844)",Rice,0.663797061,
"(10.325089733570481, 105.25345151991095)",Rice,0.693387588,
"(10.32327281825184, 105.27707141905222)",Rice,0.695524375,
"(10.323727047081501, 105.22892316311038)",Rice,0.684444269,
"(10.32327281825184, 105.2334654514068)",Rice,0.723383029,
"(10.319184758784901, 105.23846196853285)",Rice,0.683386008,
"(10.325089733570481, 105.26753261362978)",Rice,0.680631081,
"(10.318730529955241, 105.2334654514068)",Rice,0.708867629,
"(10.324635504740822, 105.28115947851899)",Rice,0.714686871,
"(10.324181275911162, 105.27525450373366)",Rice,0.644410849,
"(10.319184758784901, 105.22846893428076)",Rice,0.706213474,
"(10.324181275911162, 105.24073311268103)",Rice,0.645214796,
"(10.323727047081501, 105.2788883343708)",Rice,0.690172513,
"(10.324181275911162, 105.26571569831123)",Rice,0.705015818,
"(10.32009321644422, 105.24800077395528)",Rice,0.746179501,
"(10.32327281825184, 105.23164853608824)",Rice,0.678520203,
"(10.318730529955241, 105.22983162076967)",Rice,0.706380924,
"(10.323727047081501, 105.24436694331814)",Rice,0.693876028,
"(10.324181275911162, 105.28206793617827)",Rice,0.701898416,
"(10.325089733570481, 105.28524753798575)",Rice,0.588559866,
"(10.320547445273881, 105.22756047662148)",Rice,0.682111661,
"(10.32009321644422, 105.24527540097742)",Rice,0.668660482,
"(10.324635504740822, 105.26980375777799)",Rice,0.687095801,
"(10.323727047081501, 105.24527540097742)",Rice,0.709257285,
"(10.320547445273881, 105.23800773970319)",Rice,0.693283081,
"(10.324635504740822, 105.26616992714088)",Rice,0.664053043,
"(10.323727047081501, 105.27707141905222)",Rice,0.682611545,
"(10.321001674103542, 105.23028584959931)",Rice,0.703596115,
"(10.319184758784901, 105.23437390906608)",Rice,0.694898049,
"(10.320547445273881, 105.25208883342202)",Rice,0.668913523,
"(10.321910131762861, 105.24618385863673)",Rice,0.679580688,
"(10.325089733570481, 105.26208186767411)",Rice,0.699955543,
"(10.321455902933202, 105.2266520189622)",Rice,0.719055096,
"(10.32327281825184, 105.28797291096359)",Rice,0.737711906,
"(10.318730529955241, 105.2348281378957)",Rice,0.653950055,
"(10.324181275911162, 105.24890923161456)",Rice,0.661027988,
"(10.323727047081501, 105.2416415703403)",Rice,0.675799529,
"(9.983509653666161, 105.50282314738331)",Rice,0.693340937,
"(9.966248958139081, 105.52735150418388)",Rice,0.749106566,
"(9.962160898672142, 105.52008384290963)",Rice,0.710322857,
"(9.98169273834752, 105.53143956365062)",Rice,0.68566068,
"(9.974425077072961, 105.48510822302734)",Rice,0.713462273,
"(9.99259423025936, 105.51645001227251)",Rice,0.755455891,
"(9.982601196006842, 105.54779180151766)",Rice,0.663744251,
"(9.94490020314506, 105.52144652939856)",Rice,0.649519324,
"(9.991685772600041, 105.49600971493871)",Rice,0.758696397,
"(9.975787763561941, 105.49373857079053)",Rice,0.695887963,
"(9.992140001429702, 105.51645001227251)",Rice,0.734882275,
"(9.979421594199222, 105.50963657982791)",Rice,0.747219165,
"(9.976241992391602, 105.48601668068665)",Rice,0.689925035,
"(9.983509653666161, 105.52871419067279)",Rice,0.697427909,
"(9.990777314940722, 105.49964354557582)",Rice,0.65819033,
"(9.95443900856792, 105.52825996184316)",Rice,0.657847325,
"(9.994411145578, 105.50872812216863)",Rice,0.692636172,
"(9.98805194196276, 105.51054503748719)",Rice,0.719544172,
"(9.947171347293361, 105.51735846993179)",Rice,0.727234046,
"(9.97669622122126, 105.53734453843595)",Rice,0.731248299,
"(9.952622093249282, 105.51554155461324)",Rice,0.721035083,
"(9.964886271650101, 105.50009777440548)",Rice,0.677944422,
"(9.98941462845174, 105.52962264833207)",Rice,0.719915231,
"(9.95943552569418, 105.50691120685008)",Rice,0.711165269,
"(9.971245475265341, 105.49600971493871)",Rice,0.697719892,
"(9.97533353473228, 105.53371070779883)",Rice,0.665847143,
"(9.980330051858541, 105.51009080865757)",Rice,0.710212469,
"(9.966248958139081, 105.53280225013955)",Rice,0.657740275,
"(9.977150450050921, 105.50827389333898)",Rice,0.720436096,
"(9.97987582302888, 105.49600971493871)",Rice,0.718443632,
"(9.966248958139081, 105.49782663025726)",Rice,0.682698011,
"(9.977604678880581, 105.51508732578358)",Rice,0.691203594,
"(9.985326568984801, 105.50645697802042)",Rice,0.719695807,
"(9.98805194196276, 105.4991893167462)",Rice,0.699409326,
"(9.985780797814462, 105.54506642853983)",Rice,0.679369609,
"(9.986689255473781, 105.51099926631684)",Rice,0.781045039,
"(9.99123154377038, 105.51327041046503)",Rice,0.701945941,
"(9.974425077072961, 105.50827389333898)",Rice,0.705373049,
"(9.969882788776362, 105.49646394376836)",Rice,0.648382505,
"(9.956710152716221, 105.51645001227251)",Rice,0.721704721,
"(9.983509653666161, 105.53416493662849)",Rice,0.661102057,
"(9.976241992391602, 105.48556245185699)",Rice,0.720189174,
"(9.9512594067603, 105.51463309695396)",Rice,0.682656129,
"(9.972608161754321, 105.53461916545811)",Rice,0.70440944,
"(9.9785131365399, 105.52825996184316)",Rice,0.747328122,
"(9.996682289726301, 105.5005520032351)",Rice,0.694708586,
"(9.99259423025936, 105.52008384290963)",Rice,0.707719008,
"(9.996228060896641, 105.51463309695396)",Rice,0.66132919,
"(9.989868857281401, 105.52053807173928)",Rice,0.775834243,
"(9.977150450050921, 105.5128161816354)",Rice,0.740205765,
"(9.953530550908601, 105.52871419067279)",Rice,0.703667462,201
"(9.973062390583982, 105.5209923005689)",Rice,0.686981738,
"(9.990323086111061, 105.51054503748719)",Rice,0.707541347,
"(9.954893237397581, 105.52508036003567)",Rice,0.709610641,
"(9.969428559946701, 105.50191468972403)",Rice,0.647499561,
"(9.972608161754321, 105.48965051132376)",Rice,0.671067595,
"(9.958072839205201, 105.52144652939856)",Rice,0.727794826,
"(9.973970848243301, 105.48737936717555)",Rice,0.689570963,
"(9.974879305902622, 105.48692513834592)",Rice,0.624571741,
"(9.97987582302888, 105.5141788681243)",Rice,0.679535329,
"(9.99123154377038, 105.50191468972403)",Rice,0.73776561,
"(9.95943552569418, 105.5323480213099)",Rice,0.679714143,
"(9.9626151275018, 105.52326344471712)",Rice,0.709993601,
"(9.952167864419621, 105.52689727535423)",Rice,0.688944995,
"(9.985780797814462, 105.54688334385838)",Rice,0.62983346,
"(9.977150450050921, 105.51009080865757)",Rice,0.706606627,
"(9.985780797814462, 105.50918235099826)",Rice,0.666914046,
"(9.984418111325482, 105.5073654356797)",Rice,0.714712203,
"(9.94807980495268, 105.51735846993179)",Rice,0.694478333,
"(9.974879305902622, 105.49010474015338)",Rice,0.694838405,
"(9.969428559946701, 105.49555548610908)",Rice,0.680393636,
"(9.999861891533921, 105.50645697802042)",Rice,0.703311026,
"(9.957164381545882, 105.53053110599134)",Rice,0.692420423,
"(9.958981296864522, 105.51690424110214)",Rice,0.702237189,
"(9.950805177930642, 105.51463309695396)",Rice,0.65547365,
"(9.959889754523841, 105.53007687716172)",Rice,0.7108531,
"(9.995319603237322, 105.50146046089439)",Rice,0.734233797,
"(9.9785131365399, 105.50918235099826)",Rice,0.710352898,
"(9.959889754523841, 105.52508036003567)",Rice,0.696889043,
"(9.972608161754321, 105.48874205366448)",Rice,0.706100941,
"(9.966703186968742, 105.50009777440548)",Rice,0.633238256,
"(9.966703186968742, 105.53189379248028)",Rice,0.723614752,
"(9.987597713133102, 105.50509429153152)",Rice,0.684597135,
"(9.9467171184637, 105.5241719023764)",Rice,0.692374408,
"(9.982146967177181, 105.52780573301351)",Rice,0.696916163,
"(9.984418111325482, 105.49146742664232)",Rice,0.667358279,
"(9.977604678880581, 105.52462613120602)",Rice,0.731869936,
"(9.961252441012821, 105.51872115642072)",Rice,0.68564707,
"(9.984418111325482, 105.50918235099826)",Rice,0.719744205,
"(9.955347466227241, 105.52598881769495)",Rice,0.670395136,
"(9.97987582302888, 105.54052414024343)",Rice,0.655459881,
"(9.958527068034861, 105.52462613120602)",Rice,0.677168727,
"(9.985326568984801, 105.53416493662849)",Rice,0.66702044,
"(9.987597713133102, 105.52553458886531)",Rice,0.716337383,
"(9.978967365369561, 105.52553458886531)",Rice,0.652519941,
"(9.977604678880581, 105.4878335960052)",Rice,0.728936255,
"(9.974879305902622, 105.52371767354674)",Rice,0.74583751,
"(9.994865374407661, 105.51099926631684)",Rice,0.715115905,
"(9.977604678880581, 105.53825299609522)",Rice,0.680748463,
"(9.97351661941364, 105.54279528439164)",Rice,0.652051508,
"(9.99577383206698, 105.50554852036115)",Rice,0.690551877,
"(9.974879305902622, 105.48647090951627)",Rice,0.668799698,
"(9.9671574157984, 105.52326344471712)",Rice,0.703810632,
"(9.980784280688201, 105.5264430465246)",Rice,0.770807207,
"(9.964432042820441, 105.4991893167462)",Rice,0.670988977,
"(9.981238509517862, 105.5060027491908",Rice,0.707262278,
"(9.98805194196276, 105.50554852036115)",Rice,0.675072849,
"(9.986689255473781, 105.49146742664232)",Rice,0.703017771,
"(9.969428559946701, 105.49737240142764)",Rice,0.695032179,
"(9.987597713133102, 105.50009777440548)",Rice,0.697066605,
"(9.977150450050921, 105.54279528439164)",Rice,0.639798999,
"(9.973062390583982, 105.49101319781266)",Rice,0.713555276,
"(9.952167864419621, 105.52190075822818)",Rice,0.688075602,
"(9.985326568984801, 105.49782663025726)",Rice,0.700847507,
"(9.976241992391602, 105.48647090951627)",Rice,0.667959929,
"(9.979421594199222, 105.49555548610908)",Rice,0.690826416,
"(9.984418111325482, 105.54506642853983)",Rice,0.736442089,
"(9.972608161754321, 105.53734453843595)",Rice,0.695585966,
"(9.980784280688201, 105.49646394376836)",Rice,0.716824353,
"(9.98487234015514, 105.50146046089439)",Rice,0.683034539,
"(9.961252441012821, 105.52598881769495)",Rice,0.660848916,
"(9.94989672027132, 105.51826692759107)",Rice,0.693758368,
"(9.98941462845174, 105.50827389333898)",Rice,0.688187838,
"(9.97533353473228, 105.48556245185699)",Rice,0.690467894,
"(9.9830554248365, 105.53870722492488)",Rice,0.663435042,
"(9.98805194196276, 105.5377987672656)",Rice,0.686943233,
"(9.982146967177181, 105.49646394376836)",Rice,0.672048807,
"(9.986689255473781, 105.50373160504259)",Rice,0.719995975,
"(9.994411145578, 105.51781269876145)",Rice,0.736112297,
"(9.982601196006842, 105.50327737621296)",Rice,0.697161138,
"(9.978967365369561, 105.50418583387224)",Rice,0.729021549,
"(10.001224578022901, 105.50464006270187)",Rice,0.71391809,
"(9.96897433111704, 105.52371767354674)",Rice,0.712703824,
"(9.950805177930642, 105.52008384290963)",Rice,0.664887965,
"(9.98941462845174, 105.4991893167462)",Rice,0.709578037,
"(9.97351661941364, 105.53643608077667)",Rice,0.653067529,
"(9.97533353473228, 105.52144652939856)",Rice,0.676048994,
"(9.9671574157984, 105.49373857079053)",Rice,0.688792288,
"(9.967611644628061, 105.50827389333898)",Rice,0.716568768,
"(9.982601196006842, 105.51690424110214)",Rice,0.646430373,
"(9.9830554248365, 105.53825299609522)",Rice,0.64067167,
"(9.968520102287382, 105.4946470284498)",Rice,0.709477186,
"(9.974425077072961, 105.50645697802042)",Rice,0.750752211,
"(9.96397781399078, 105.52371767354674)",Rice,0.681989431,
"(9.991685772600041, 105.51645001227251)",Rice,0.758318722,
"(9.985780797814462, 105.50872812216863)",Rice,0.689260364,
"(9.981238509517862, 105.50373160504259)",Rice,0.702744007,
"(9.971699704095002, 105.4923758843016)",Rice,0.716208875,
"(9.95307632207894, 105.51599578344286)",Rice,0.689314604,
"(9.97987582302888, 105.51554155461324)",Rice,0.719230831,
"(10.481616988271316, 104.91150805695796)",Non Rice,0.250465373,
"(10.481162759441657, 104.91150805695796)",Non Rice,0.243082444,
"(10.480708530611997, 104.91150805695796)",Non Rice,0.238084932,
"(10.480254301782336, 104.91150805695796)",Non Rice,0.233737369,
"(10.479800072952678, 104.91150805695796)",Non Rice,0.240638196,
"(10.479345844123017, 104.91150805695796)",Non Rice,0.237313072,
"(10.478891615293357, 104.91150805695796)",Non Rice,0.223701119,
"(10.478437386463696, 104.91150805695796)",Non Rice,0.237609506,
"(10.477983157634037, 104.91150805695796)",Non Rice,0.225420992,
"(10.477528928804377, 104.91150805695796)",Non Rice,0.236518204,
"(10.477074699974716, 104.91150805695796)",Non Rice,0.238778392,
"(10.476620471145058, 104.91150805695796)",Non Rice,0.229783356,
"(10.476166242315397, 104.91150805695796)",Non Rice,0.228507161,
"(10.475712013485737, 104.91150805695796)",Non Rice,0.230283459,
"(10.475257784656076, 104.91150805695796)",Non Rice,0.213645279,
"(10.474803555826417, 104.91150805695796)",Non Rice,0.230961144,
"(10.474349326996757, 104.91150805695796)",Non Rice,0.226154069,
"(10.473895098167096, 104.91150805695796)",Non Rice,0.236651897,
"(10.473440869337438, 104.91150805695796)",Non Rice,0.224207958,
"(10.472986640507777, 104.91150805695796)",Non Rice,0.234265427,
"(10.472532411678117, 104.91150805695796)",Non Rice,0.246094604,
"(10.472078182848456, 104.91150805695796)",Non Rice,0.24621884,
"(10.471623954018797, 104.91150805695796)",Non Rice,0.248483539,
"(10.481616988271316, 104.91196228578761)",Non Rice,0.245605151,
"(10.481162759441657, 104.91196228578761)",Non Rice,0.2499517,
"(10.480708530611997, 104.91196228578761)",Non Rice,0.243833303,
"(10.480254301782336, 104.91196228578761)",Non Rice,0.241101007,
"(10.479800072952678, 104.91196228578761)",Non Rice,0.24974372,
"(10.479345844123017, 104.91196228578761)",Non Rice,0.24941955,
"(10.478891615293357, 104.91196228578761)",Non Rice,0.243442416,
"(10.478437386463696, 104.91196228578761)",Non Rice,0.234490951,
"(10.477983157634037, 104.91196228578761)",Non Rice,0.230062604,
"(10.477528928804377, 104.91196228578761)",Non Rice,0.236856898,
"(10.477074699974716, 104.91196228578761)",Non Rice,0.233681023,
"(10.476620471145058, 104.91196228578761)",Non Rice,0.214257002,
"(10.476166242315397, 104.91196228578761)",Non Rice,0.236215452,
"(10.475712013485737, 104.91196228578761)",Non Rice,0.216734707,
"(10.475257784656076, 104.91196228578761)",Non Rice,0.218550543,
"(10.474803555826417, 104.91196228578761)",Non Rice,0.233345886,
"(10.474349326996757, 104.91196228578761)",Non Rice,0.235481203,
"(10.473895098167096, 104.91196228578761)",Non Rice,0.242434402,
"(10.473440869337438, 104.91196228578761)",Non Rice,0.240460893,
"(10.472986640507777, 104.91196228578761)",Non Rice,0.226332506,
"(10.472532411678117, 104.91196228578761)",Non Rice,0.242582083,
"(10.472078182848456, 104.91196228578761)",Non Rice,0.248215795,
"(10.471623954018797, 104.91196228578761)",Non Rice,0.241357605,
"(10.471169725189137, 104.91196228578761)",Non Rice,0.227929254,
"(10.470715496359476, 104.91196228578761)",Non Rice,0.228819708,
"(10.470261267529818, 104.91196228578761)",Non Rice,0.214574516,
"(10.469807038700157, 104.91196228578761)",Non Rice,0.221385201,
"(10.469352809870497, 104.91196228578761)",Non Rice,0.238250335,
"(10.468898581040836, 104.91196228578761)",Non Rice,0.229744017,
"(10.468444352211177, 104.91196228578761)",Non Rice,0.243890166,
"(10.467990123381517, 104.91196228578761)",Non Rice,0.239245931,
"(10.467535894551856, 104.91196228578761)",Non Rice,0.240503927,
"(10.467081665722198, 104.91196228578761)",Non Rice,0.236468573,
"(10.466627436892537, 104.91196228578761)",Non Rice,0.240606229,
"(10.466173208062877, 104.91196228578761)",Non Rice,0.251474182,
"(10.465718979233216, 104.91196228578761)",Non Rice,0.237256964,
"(10.465264750403557, 104.91196228578761)",Non Rice,0.238164802,
"(10.464810521573897, 104.91196228578761)",Non Rice,0.230193059,
"(10.464356292744236, 104.91196228578761)",Non Rice,0.225328684,
"(10.463902063914578, 104.91196228578761)",Non Rice,0.236064295,
"(10.463447835084917, 104.91196228578761)",Non Rice,0.229757806,
"(10.462993606255257, 104.91196228578761)",Non Rice,0.227008621,
"(10.462539377425596, 104.91196228578761)",Non Rice,0.23123016,
"(10.462085148595937, 104.91196228578761)",Non Rice,0.233716985,
"(10.461630919766277, 104.91196228578761)",Non Rice,0.235595087,
"(10.461176690936616, 104.91196228578761)",Non Rice,0.236392001,
"(10.460722462106958, 104.91196228578761)",Non Rice,0.240603844,
"(10.460268233277297, 104.91196228578761)",Non Rice,0.243926386,
"(10.459814004447637, 104.91196228578761)",Non Rice,0.249598344,
"(10.459359775617976, 104.91196228578761)",Non Rice,0.248380005,
"(10.458905546788317, 104.91196228578761)",Non Rice,0.249202867,
"(10.482071217100977, 104.91241651461723)",Non Rice,0.235094746,
"(10.481616988271316, 104.91241651461723)",Non Rice,0.231119315,
"(10.481162759441657, 104.91241651461723)",Non Rice,0.246306499,
"(10.480708530611997, 104.91241651461723)",Non Rice,0.245187163,
"(10.480254301782336, 104.91241651461723)",Non Rice,0.236700912,
"(10.479800072952678, 104.91241651461723)",Non Rice,0.228383541,
"(10.479345844123017, 104.91241651461723)",Non Rice,0.24401625,
"(10.478891615293357, 104.91241651461723)",Non Rice,0.248375793,
"(10.478437386463696, 104.91241651461723)",Non Rice,0.233585914,
"(10.477983157634037, 104.91241651461723)",Non Rice,0.243927956,
"(10.477528928804377, 104.91241651461723)",Non Rice,0.230094492,
"(10.477074699974716, 104.91241651461723)",Non Rice,0.232052008,
"(10.476620471145058, 104.91241651461723)",Non Rice,0.235845407,
"(10.476166242315397, 104.91241651461723)",Non Rice,0.227688511,
"(10.475712013485737, 104.91241651461723)",Non Rice,0.228201191,
"(10.475257784656076, 104.91241651461723)",Non Rice,0.230061829,
"(10.474803555826417, 104.91241651461723)",Non Rice,0.237780968,
"(10.474349326996757, 104.91241651461723)",Non Rice,0.228522122,
"(10.473895098167096, 104.91241651461723)",Non Rice,0.233673056,
"(10.473440869337438, 104.91241651461723)",Non Rice,0.244590004,
"(10.472986640507777, 104.91241651461723)",Non Rice,0.227229297,
"(10.472532411678117, 104.91241651461723)",Non Rice,0.232521971,
"(10.472078182848456, 104.91241651461723)",Non Rice,0.244896809,
"(10.471623954018797, 104.91241651461723)",Non Rice,0.232750018,
"(10.471169725189137, 104.91241651461723)",Non Rice,0.237686515,
"(10.470715496359476, 104.91241651461723)",Non Rice,0.267928402,
"(10.325089733570481, 105.4923758843016)",Non Rice,0.270102362,
"(10.325089733570481, 105.49283011313122)",Non Rice,0.281674008,
"(10.324635504740822, 105.49283011313122)",Non Rice,0.285694261,
"(10.325089733570481, 105.49328434196087)",Non Rice,0.28927807,
"(10.324635504740822, 105.49328434196087)",Non Rice,0.279598892,
"(10.324181275911162, 105.49328434196087)",Non Rice,0.29236726,
"(10.325089733570481, 105.49373857079053)",Non Rice,0.288777987,
"(10.324635504740822, 105.49373857079053)",Non Rice,0.268734674,
"(10.324181275911162, 105.49373857079053)",Non Rice,0.273457825,
"(10.323727047081501, 105.49373857079053)",Non Rice,0.29256171,
"(10.325089733570481, 105.49419279962015)",Non Rice,0.293531199,
"(10.324635504740822, 105.49419279962015)",Non Rice,0.280891379,
"(10.324181275911162, 105.49419279962015)",Non Rice,0.271367888,
"(10.323727047081501, 105.49419279962015)",Non Rice,0.283509274,
"(10.32327281825184, 105.49419279962015)",Non Rice,0.294137001,
"(10.325089733570481, 105.4946470284498)",Non Rice,0.286024352,
"(10.324635504740822, 105.4946470284498)",Non Rice,0.276178877,
"(10.324181275911162, 105.4946470284498)",Non Rice,0.272651196,
"(10.323727047081501, 105.4946470284498)",Non Rice,0.275111934,
"(10.32327281825184, 105.4946470284498)",Non Rice,0.274226228,
"(10.32281858942218, 105.4946470284498)",Non Rice,0.286957761,
"(10.325089733570481, 105.49510125727943)",Non Rice,0.28371193,
"(10.324635504740822, 105.49510125727943)",Non Rice,0.290420949,
"(10.324181275911162, 105.49510125727943)",Non Rice,0.287462453,
"(10.323727047081501, 105.49510125727943)",Non Rice,0.282809138,
"(10.32327281825184, 105.49510125727943)",Non Rice,0.290607293,
"(10.32281858942218, 105.49510125727943)",Non Rice,0.262237906,
"(10.322364360592521, 105.49510125727943)",Non Rice,0.243660271,
"(10.321910131762861, 105.49510125727943)",Non Rice,0.28326714,
"(10.325089733570481, 105.49555548610908)",Non Rice,0.280250927,
"(10.324635504740822, 105.49555548610908)",Non Rice,0.288882414,
"(10.324181275911162, 105.49555548610908)",Non Rice,0.274471899,
"(10.323727047081501, 105.49555548610908)",Non Rice,0.280534486,
"(10.32327281825184, 105.49555548610908)",Non Rice,0.275260905,
"(10.32281858942218, 105.49555548610908)",Non Rice,0.275178651,
"(10.322364360592521, 105.49555548610908)",Non Rice,0.267724514,
"(10.321910131762861, 105.49555548610908)",Non Rice,0.261357884,
"(10.321455902933202, 105.49555548610908)",Non Rice,0.284620841,
"(10.325089733570481, 105.49600971493871)",Non Rice,0.279265324,
"(10.324635504740822, 105.49600971493871)",Non Rice,0.288755735,
"(10.324181275911162, 105.49600971493871)",Non Rice,0.26130118,
